precio_lici,tipo_cont,tipo_pro,por_adj
69500.0,Suministros,Abierto,0.9477753956834533
163800.0,Servicios,Abierto,0.31746031746031744
165037.1,Servicios,Abierto,0.9
77953.9,Servicios,Abierto,0.18215894265713456
67548.0,Servicios,Abierto,0.9187000355302896
106920.0,Servicios,Abierto,0.3333333333333333
142619.7,Servicios,Abierto,0.1751230720580677
384640.0,Suministros,Abierto,0.25
213168.0,Servicios,Abierto,0.4166666666666667
219548.0,Servicios,Abierto,0.5
280991.72,Servicios,Abierto,0.25
24000.0,Servicios,Abierto,0.363125
34500.0,Suministros,Abierto,0.9130434782608695
486689.04,Servicios,Abierto,0.6790783700409608
451200.0,Servicios,Abierto,0.20833333333333334
45000.0,Servicios,Abierto,0.5333333333333333
358800.0,Servicios,Abierto,0.5231789297658863
200757.6,Suministros,Abierto,0.2241510159515754
28616.61,Suministros,Abierto,0.8652432975114802
319000.0,Servicios,Abierto,0.8629780564263323
40000.0,Servicios,Abierto,1.0
64540.0,Servicios,Abierto,0.7160985435388906
198204.96,Servicios,Abierto,0.5244520116953684
296819.6,Suministros,Abierto,0.8293711062207483
140060.31,Servicios,Abierto,0.48747000488575243
64669.1,Servicios,Abierto,0.41666669243889276
95580.0,Servicios,Abierto,0.22802270349445491
463152.58,Servicios,Abierto,0.2173646749414631
375000.0,Servicios,Abierto,0.54552576
484800.0,Servicios,Abierto,0.3712871287128713
154236.0,Servicios,Abierto,0.37560491713996735
96000.0,Servicios,Abierto simplificado,0.6875
191100.0,Servicios,Abierto,0.1826792255363684
325323.77,Obras,Abierto,0.7012000076108794
182148.77,Servicios,Abierto,0.5517239561925124
27300.0,Servicios,Abierto simplificado,0.31135531135531136
516285.0,Servicios,Abierto,0.4760936304560466
301550.1,Servicios,Abierto,0.11250203531685117
17718.27,Suministros,Abierto simplificado,0.7499880067297767
182069.8,Servicios,Abierto,0.4545454545454546
282731.41,Servicios,Abierto,0.23019373758295905
216510.65,Servicios,Abierto,0.4545454461477992
82808.04,Suministros,Abierto,0.24045491234909075
80100.0,Servicios,Abierto simplificado,0.46861298377028715
105000.0,Servicios,Abierto,1.0
99173.58,Servicios,Abierto simplificado,0.16666666666666666
146358.0,Suministros,Abierto,0.5841839872094453
230000.0,Suministros,Abierto,0.8694782608695653
80000.0,Servicios,Abierto simplificado,0.2333875
275563.26,Obras,Abierto simplificado,0.700383643305715
