identificador,precio_lici,precio_adj_sin_imp,tipo_cont,tipo_pro
7052122,308000.0,130900.0,Servicios,Abierto
7052126,378953.2,107461.0,Suministros,Abierto
7052131,159005.97,133000.0,Obras,Abierto
7052136,562749.24,171685.27,Suministros,Abierto
7052138,30655.95,24032.23,Suministros,Abierto simplificado
7052140,60157.87,50254.75,Suministros,Abierto simplificado
7052144,575473.8,191824.6,Servicios,Abierto
7052146,13850.0,11355.56,Servicios,Abierto simplificado
7052147,25292.41,17522.18,Servicios,Abierto simplificado
7052150,32670.0,499.0,Servicios,Abierto simplificado
7052154,77220.0,35100.0,Servicios,Abierto simplificado
7052155,49840.31,35503.9,Obras,Abierto simplificado
7052156,54183.25,19703.0,Servicios,Abierto
7052159,58400.0,58400.0,Suministros,Abierto simplificado
7052160,161662.72,29810.71,Servicios,Abierto
7052162,74140.0,33700.0,Servicios,Abierto simplificado
7052163,350000.0,175000.0,Suministros,Abierto
7052164,191861.56,170700.0,Obras,Abierto simplificado
7052165,43155.91,17981.629999999997,Suministros,Abierto simplificado
7052166,44601.89,41033.74,Obras,Abierto simplificado
7052167,59998.0,29999.0,Suministros,Abierto simplificado
7052168,186160.0,24954.4,Servicios,Abierto
7052170,169234.98,14.25,Servicios,Abierto
7052171,150147.25,106574.52,Obras,Abierto simplificado
7052174,87000.0,66400.0,Suministros,Abierto
7052176,16600.0,10295.0,Servicios,Abierto simplificado
7052177,34267.3,33000.0,Servicios,Abierto simplificado
7052179,26446.0,12950.0,Servicios,Abierto
7052180,74360.0,40875.69,Obras,Abierto simplificado
7052181,43742.84,17497.12,Servicios,Abierto
7052182,103500.0,88200.0,Servicios,Abierto
7052185,273840.0,120120.0,Servicios,Abierto
7052186,83636.25,38016.48,Servicios,Abierto
7052189,134321.41,105000.0,Servicios,Abierto
7052190,182925.0,71730.0,Servicios,Abierto
7052192,60000.0,35700.0,Suministros,Abierto simplificado
7052193,49383.9,41886.84,Servicios,Abierto
7052195,39787.0,38991.26,Suministros,Abierto simplificado
7052197,33000.0,14900.0,Servicios,Abierto simplificado
7052201,134057.85,126482.32,Servicios,Abierto
7052203,386957.87,238355.55,Servicios,Abierto
7052204,82644.62,62378.45,Obras,Abierto
7052207,18400.0,13902.22,Servicios,Abierto simplificado
7052208,138515.1,42257.0,Servicios,Abierto
7052210,86161.65,73200.0,Servicios,Abierto simplificado
7052212,7997.0,7795.0,Suministros,Abierto simplificado
7052213,30000.0,13347.11,Servicios,Abierto simplificado
7052214,454101.98,134698.0,Servicios,Abierto
7052217,24016.0,12007.9,Servicios,Abierto
7052219,165328.64,62660.0,Servicios,Abierto
7052220,100000.0,50000.0,Servicios,Abierto simplificado
7052222,460330.0,75775.5,Servicios,Abierto
7052228,29700.0,10098.0,Servicios,Abierto
7052229,123966.94,92020.64,Obras,Abierto
7052230,8706.0,3275.05,Suministros,Abierto
7052232,139620.0,52700.0,Suministros,Abierto
7052233,27272.73,26527.27,Suministros,Abierto simplificado
7052234,91500.0,39450.0,Servicios,Abierto
7052238,45000.0,17250.0,Servicios,Abierto simplificado
7052239,25000.0,23933.09,Suministros,Abierto
7052382,18000.0,3960.0,Servicios,Abierto simplificado
7052383,127119.06,104479.16,Obras,Abierto simplificado
7052384,486853.3,348002.74,Obras,Abierto simplificado
7052386,34958.44,32504.36,Servicios,Abierto simplificado
7052663,63106.63,46926.09,Obras,Abierto simplificado
7052673,154564.3,121178.4,Servicios,Abierto
7055972,30000.0,3190.0,Servicios,Abierto simplificado
7055977,413223.14,291652.89,Obras,Abierto simplificado
7055978,63239.41,55940.0,Obras,Abierto simplificado
7055979,34500.0,32000.0,Servicios,Abierto
7055981,23600.57,22023.0,Suministros,Abierto simplificado
7055982,99802.75,99795.0,Obras,Abierto
7055986,12066.12,5670.47,Suministros,Abierto simplificado
7055989,171607.16,36466.52,Servicios,Abierto
7055995,123966.94,83863.63,Obras,Abierto simplificado
7055999,75000.0,50000.0,Servicios,Abierto simplificado
7056000,16910.2,13996.8,Suministros,Abierto simplificado
7056001,94555.21,72109.0,Obras,Abierto
7056002,35363.64,35363.64,Suministros,Abierto simplificado
7056005,110319.01,100393.73,Obras,Abierto simplificado
7056006,59500.0,34815.6,Servicios,Abierto simplificado
7056007,143895.7,139789.16,Obras,Abierto simplificado
7056008,27367.84,8294.0,Suministros,Abierto simplificado
7056011,53982.68,49488.28,Suministros,Abierto simplificado
7056012,197600.0,102300.0,Servicios,Abierto
7056013,106507.47,68654.72,Obras,Abierto simplificado
7056014,58530.0,13579.45,Servicios,Abierto simplificado
7056016,17355.0,17300.0,Suministros,Abierto simplificado
7056018,96400.0,35400.0,Servicios,Abierto simplificado
7056019,25500.0,21364.91,Suministros,Abierto simplificado
7056021,133659.84,127723.83,Obras,Abierto
7056022,50850.0,50850.0,Suministros,Abierto
7056023,78970.0,64108.45,Suministros,Abierto simplificado
7056024,233318.12,178562.6,Servicios,Abierto
7056025,37000.0,28818.5,Obras,Abierto
7056027,30000.0,4980.1,Suministros,Abierto simplificado
7056028,29184.0,11840.0,Suministros,Abierto simplificado
7056030,97919.86,96107.65,Suministros,Abierto
7056031,216200.0,50399.0,Servicios,Abierto
7056033,212042.0,98642.0,Suministros,Abierto
7056034,19834.72,2975.0,Servicios,Abierto simplificado
7056035,148156.62,137129.96,Servicios,Abierto
7056037,500000.0,250000.0,Servicios,Abierto
7056042,30336.0,8190.0,Servicios,Abierto simplificado
7056044,34990.0,34900.0,Suministros,Abierto simplificado
7056046,46000.0,34838.0,Suministros,Abierto
7056051,28236.17,26955.0,Servicios,Abierto simplificado
7056052,26446.28,23001.3,Suministros,Abierto simplificado
7056056,135512.5,102509.0,Obras,Abierto
7056058,49014.0,41793.83,Obras,Abierto simplificado
7056060,23000.0,3340.21,Servicios,Abierto simplificado
7056063,158040.41,154911.53,Servicios,Abierto
7056070,132500.0,15639.75,Suministros,Abierto simplificado
7056078,391733.55,343690.0,Obras,Abierto
7056079,62500.0,50835.0,Servicios,Abierto simplificado
7056081,19223.36,19223.36,Suministros,Abierto
7056082,266000.0,210932.17,Obras,Abierto
7056083,213370.0,99400.45,Servicios,Abierto
7056084,18230.97,15691.97,Suministros,Abierto simplificado
7056086,89700.0,32148.48,Servicios,Abierto simplificado
7056089,30000.0,12031.1,Suministros,Abierto simplificado
7056090,29867.75,20210.0,Servicios,Abierto
7056095,64462.81,30619.83,Servicios,Abierto
7056097,100000.0,73000.0,Servicios,Abierto simplificado
7056098,445830.84,167295.0,Suministros,Abierto
7056099,27570.76,12670.8,Servicios,Abierto simplificado
7056104,37190.08,9228.0,Suministros,Abierto simplificado
7056106,38432.0,11625.48,Servicios,Abierto simplificado
7056107,8264.46,8231.65,Servicios,Abierto simplificado
7056108,58096.0,17936.11,Servicios,Abierto simplificado
7056110,82522.98,74699.8,Obras,Abierto simplificado
7056113,74530.4,52070.58,Obras,Abierto simplificado
7056114,20015.33,16200.0,Obras,Abierto simplificado
7056118,42674.48,19100.0,Servicios,Abierto simplificado
7056121,50111.25,35760.0,Servicios,Abierto simplificado
7056123,48000.0,20640.0,Servicios,Abierto simplificado
7056125,102934.94,72000.0,Servicios,Abierto
7056127,70400.0,27200.0,Servicios,Abierto simplificado
7056128,91875.85,39155.0,Servicios,Abierto simplificado
7056130,29752.08,4663.68,Servicios,Abierto simplificado
7056132,78969.44,63900.0,Obras,Abierto simplificado
7056133,80157.19,38197.21,Obras,Abierto simplificado
7056141,13223.16,2496.0,Servicios,Abierto simplificado
7056143,440442.42,367035.25,Suministros,Abierto
7056147,29752.07,29752.07,Servicios,Abierto simplificado
7056148,195500.0,33039.5,Servicios,Abierto simplificado
7056150,57132.0,8802.0,Servicios,Abierto simplificado
7056152,119124.0,45437.4,Servicios,Abierto simplificado
7056154,73291.62,9123.0,Servicios,Abierto simplificado
7056159,61440.0,23928.0,Servicios,Abierto simplificado
7056166,75000.0,16250.0,Servicios,Abierto simplificado
7056537,77943.6,18558.0,Servicios,Abierto simplificado
7056542,70000.0,50500.0,Servicios,Abierto simplificado
7056547,96537.88,63694.21,Obras,Abierto simplificado
7056548,25640.0,11400.0,Servicios,Abierto
7056552,32340.0,16170.0,Servicios,Abierto
7056553,13650.0,3547.56,Servicios,Abierto simplificado
7056554,73370.0,40472.0,Suministros,Abierto simplificado
7056556,6149.88,2245.0,Suministros,Abierto simplificado
7056557,58146.0,20570.0,Servicios,Abierto
7056558,61318.18,61318.18,Servicios,Abierto
7056561,246135.16,144800.0,Servicios,Abierto
7056565,237395.97,137400.0,Servicios,Abierto
7056567,60446.73,17350.56,Suministros,Abierto simplificado
7056572,449586.78,362569.98,Obras,Abierto simplificado
7056574,330578.51,209851.24,Obras,Abierto simplificado
7056575,33057.85,33057.85,Servicios,Abierto simplificado
7056576,34612.75,28430.0,Obras,Abierto simplificado
7056577,413223.14,264049.59,Obras,Abierto simplificado
7056578,126599.82,84994.52,Obras,Abierto
7056580,360000.0,254400.0,Servicios,Abierto
7056585,165289.26,122644.63,Obras,Abierto simplificado
7056586,142200.0,132840.0,Servicios,Abierto
7056588,8264.46,7263.0,Servicios,Abierto simplificado
7056594,65750.0,9975.0,Obras,Abierto simplificado
7056595,6000.0,28.5,Servicios,Abierto
7056597,132002.72,66450.0,Servicios,Abierto simplificado
7056598,45310.0,43700.0,Suministros,Abierto
7056599,287500.0,228505.0,Suministros,Abierto
7056602,133108.56,87499.0,Obras,Abierto simplificado
7056606,14860.0,10090.1,Suministros,Abierto simplificado
7056608,59267.57,49962.56,Obras,Abierto simplificado
7056609,17864.0,3814.08,Servicios,Abierto simplificado
7056614,194319.6,148751.65,Obras,Abierto simplificado
7056617,8750.0,8312.5,Servicios,Abierto
7056619,148832.9,73995.39,Servicios,Abierto
7056622,15720.0,5240.0,Servicios,Abierto simplificado
7056623,109888.0,52190.0,Servicios,Abierto simplificado
7056624,150871.0,149591.67,Obras,Abierto simplificado
7056625,149886.66,111828.25,Servicios,Abierto
7056626,207000.0,33000.0,Servicios,Abierto
7056627,206611.56,103305.78,Suministros,Abierto simplificado
7056628,50000.0,47200.0,Servicios,Abierto
7056629,28000.0,18157.33,Servicios,Abierto simplificado
7056632,218563.28,74706.54,Servicios,Abierto
7056633,16297.84,8407.6,Suministros,Abierto simplificado
7056635,14000.0,59.0,Servicios,Abierto
7056636,448383.3,189484.38,Servicios,Abierto
7056637,7200.0,2266.8,Servicios,Abierto simplificado
7056639,355800.0,1656.6,Suministros,Abierto
7056641,21700.0,14450.0,Suministros,Abierto simplificado
7056643,29935.92,4859.65,Suministros,Abierto simplificado
7056644,199058.57,179156.96,Obras,Abierto simplificado
7056646,204758.48,157766.41,Obras,Abierto simplificado
7056648,20228.16,19115.62,Servicios,Abierto
7056651,448970.96,342340.36,Obras,Abierto simplificado
7056652,79128.0,13104.0,Servicios,Abierto
7056653,14545.45,14545.45,Servicios,Abierto simplificado
7056656,65000.0,44868.52,Suministros,Abierto
7056659,145600.0,44000.0,Suministros,Abierto
7056661,25800.0,64.49,Servicios,Abierto
7056666,63653.3,59400.0,Servicios,Abierto
7056670,42000.0,9890.0,Suministros,Abierto simplificado
7056671,37190.08,26033.67,Suministros,Abierto simplificado
7056673,79956.09,74359.16,Obras,Abierto simplificado
7056674,21090.0,17800.0,Suministros,Abierto simplificado
7056676,206611.57,206611.57,Servicios,Abierto
7056677,23400.0,44.5,Servicios,Abierto
7056680,400047.96,317118.02,Obras,Abierto simplificado
7056683,98347.11,98347.11,Servicios,Abierto
7056684,99983.18,83985.72,Obras,Abierto simplificado
7056686,23900.0,175.5,Servicios,Abierto
7056687,23094.05,22863.1,Suministros,Abierto
7056690,183500.0,154603.65,Suministros,Abierto
7056695,73260.0,53976.0,Suministros,Abierto
7056697,450753.5,274045.0,Obras,Abierto simplificado
7057078,99000.0,25000.0,Servicios,Abierto
7057082,129470.8,129380.0,Servicios,Abierto
7057084,100000.0,38859.46,Suministros,Abierto simplificado
7057088,74392.48,66209.31,Obras,Abierto simplificado
7057089,123024.78,20504.13,Suministros,Abierto
7057090,38968.0,27551.71,Suministros,Abierto
7057091,140425.58,133727.28,Obras,Abierto simplificado
7057112,16225.0,12800.0,Suministros,Abierto simplificado
7057115,242591.38,197742.24,Obras,Abierto simplificado
7057116,73403.41,60715.22,Suministros,Abierto
7057119,96716.09,82329.69,Obras,Abierto simplificado
