Producto,Precio_Dia,Precio_Mercadona,Donde comprar
HUEVO GALLINA CAMPERA,3.19,2.4,Mercadona
CALABAZA EN TROZOS,1.59,1.71,Dia
KEFIR,1.75,1.25,Mercadona
ESPARRAGO VERDE,1.99,1.88,Mercadona
UVA BLANCA SIN SEMILLA,2.29,2.25,Mercadona
