n_nom_fondo,importe_euro
BGF Euro Short Duration Bond A2 EUR,340.342
iShares Euro Govt Bd Idx (LU) A2 EUR,981.618
iShares Em Markets Govt Bd Idx (LU) A2 EURH,1240.9614000000001
iShares Europe Equity Index (LU) A2 EUR ,2344.584
iShares Developed Real Estate Index Fund (IE) Institutional Acc EUR,581.6124
iShares North America Eq Index (LU) A2 USD,2047.2310558900203
iShares Japan Equity Index (LU) A2 USD,1007.52408861127
iShares Emerging Markets Eq Idx (LU) A2 USD,1160.51173431302
total,9704.384678814311
