precio_lici,tipo_cont,tipo_pro,por_adj
66115.7,Suministros,Abierto,0.009284193246222606
175260.0,Servicios,Abierto,0.009456615104538789
24000.0,Servicios,Abierto,0.005584615394782248
40000.0,Servicios,Abierto,0.0016366325659809887
746326.35,Servicios,Abierto,0.1117753410265936
193663.05,Suministros,Abierto,0.04982389978031464
42199.19,Obras,Abierto,0.04043301626265726
200006.08,Obras,Abierto,0.10587718449896501
65000.0,Servicios,Abierto,0.03019149332810047
366661.01,Servicios,Abierto,0.09325458230903241
720000.0,Servicios,Abierto,4.838888888888889
189000.0,Servicios,Abierto,0.12311119477911646
403925.6,Servicios,Abierto,0.04718221627539229
60967.91,Obras,Abierto,0.09936061870058856
107163.0,Servicios,Abierto,0.07125608928828976
24793.39,Servicios,Abierto,0.0014472652236854394
110480.0,Suministros,Abierto,0.05306056916367268
460816.61,Servicios,Abierto,0.20536241706485753
336000.0,Servicios,Abierto,0.1282051282051282
120000.0,Servicios,Abierto,0.011497700268852757
163800.0,Suministros,Abierto,1.83405187635826
69002.64,Servicios,Abierto,0.024242273489618462
131165.64,Servicios,Abierto,0.00047834189525388396
569455.26,Suministros,Abierto,0.07511879616978642
69500.0,Suministros,Abierto,0.01842783773088822
163800.0,Servicios,Abierto,0.17333333333333334
627646.47,Suministros,Abierto,1.3072262118491922
165037.1,Servicios,Abierto,0.2374224594314651
77953.9,Servicios,Abierto,0.011156564421153519
67548.0,Servicios,Abierto,0.03817175264039228
106920.0,Servicios,Abierto,0.026772836538461537
142619.7,Servicios,Abierto,0.004084649854446734
384640.0,Suministros,Abierto,3.105153825561784
672201.21,Servicios,Abierto,1.5294673155431777
213168.0,Servicios,Abierto,0.4741523952062883
219548.0,Servicios,Abierto,0.4682865882864449
112188.14,Suministros,Abierto,0.00045125786163522014
280991.72,Servicios,Abierto,0.4374529412867299
24000.0,Servicios,Abierto,0.0012684303881444145
34500.0,Suministros,Abierto,0.1087155045703998
486689.04,Servicios,Abierto,0.01732651142357082
451200.0,Servicios,Abierto,0.7029925345184292
45000.0,Servicios,Abierto,2.0
650000.0,Servicios,Abierto,0.48072265837383926
358800.0,Servicios,Abierto,0.08511833451617101
200757.6,Suministros,Abierto,0.012500005555555554
28616.61,Suministros,Abierto,0.017851847731017136
319000.0,Servicios,Abierto,0.04654909425208998
40000.0,Servicios,Abierto,0.36231884057971014
470.0,Suministros,Abierto,0.0010681818181818182
64540.0,Servicios,Abierto,0.2025169468873377
198204.96,Servicios,Abierto,0.0025404035361644445
296819.6,Suministros,Abierto,1.1611962264150943
140060.31,Servicios,Abierto,0.10520061633281971
64669.1,Servicios,Abierto,0.0009505965465832964
95580.0,Servicios,Abierto,0.018162008333333333
463152.58,Servicios,Abierto,0.006073034823618417
375000.0,Servicios,Abierto,1.202658201058201
484800.0,Servicios,Abierto,0.26368673312939606
154236.0,Servicios,Abierto,0.029810288187988615
96000.0,Servicios,Abierto simplificado,0.09821428571428571
191100.0,Servicios,Abierto,0.03324761904761905
643600.18,Servicios,Abierto,0.024717974246197667
641500.0,Suministros,Abierto,1.3695121951219513
325323.77,Obras,Abierto,0.07043486033726547
182148.77,Servicios,Abierto,0.1896147924528302
27300.0,Servicios,Abierto simplificado,0.02378201128666277
631033.85,Suministros,Abierto,0.21957756234579995
516285.0,Servicios,Abierto,2.2122738899479244
301550.1,Servicios,Abierto,0.01588881172075653
17718.27,Suministros,Abierto simplificado,0.7751626918293586
620000.0,Servicios,Abierto,0.1085
182069.8,Servicios,Abierto,3.31036
504235.78,Obras,Abierto,0.879756
661157.04,Servicios,Abierto,0.24905719362797377
760583.04,Servicios,Abierto,0.16033455058361443
282731.41,Servicios,Abierto,0.00797430115400977
216510.65,Servicios,Abierto,0.09917042181166372
82808.04,Suministros,Abierto,0.12573059645312873
80100.0,Servicios,Abierto simplificado,0.003833172170187853
105000.0,Servicios,Abierto,0.175
99173.58,Servicios,Abierto simplificado,0.3416197503306878
146358.0,Suministros,Abierto,0.08708333349459876
230000.0,Suministros,Abierto,0.22039229343319572
80000.0,Servicios,Abierto simplificado,0.009826842105263158
275563.26,Obras,Abierto simplificado,2.693519239193859
619798.74,Obras,Abierto,0.22060130633395927
23636.36,Servicios,Abierto simplificado,0.013898068090874334
26055.0,Servicios,Abierto simplificado,0.0009036262249741257
16202.06,Servicios,Abierto simplificado,0.0003700727701843471
460000.0,Servicios,Abierto,0.11901050438455396
156345.25,Obras,Abierto simplificado,0.17763012108980888
351072.0,Suministros,Abierto,0.056484555768416565
21000.0,Obras,Abierto simplificado,0.005098529411764706
183702.43,Servicios,Abierto,0.14409525298938797
21000.0,Obras,Abierto simplificado,0.05370445908434207
122892.0,Suministros,Abierto,0.03630139989661601
440330.58,Obras,Abierto simplificado,1.4255509034474663
196445.0,Servicios,Abierto,1.1241956195365936
96194.8,Servicios,Abierto,0.05542459376732673
30660.0,Suministros,Abierto,0.04753333333333333
285000.0,Servicios,Abierto,0.7810910553928765
20412.0,Servicios,Abierto simplificado,0.04342026315789474
27631.97,Obras,Abierto,0.06336575538085418
24200.0,Servicios,Abierto simplificado,0.003995682918876885
435445.69,Obras,Abierto simplificado,0.16867125338364367
98181.82,Suministros,Abierto simplificado,1.406495430192247
27400.0,Suministros,Abierto simplificado,0.008476608893768181
