iter	Logloss
0	0.6800586549
1	0.6685527189
2	0.6568773857
3	0.6475655243
4	0.6375825907
5	0.6270182951
6	0.6175787003
7	0.6088075259
8	0.6004009893
9	0.5918346287
10	0.5841570083
11	0.5770296482
12	0.5696575182
13	0.5637451531
14	0.5563128869
15	0.550404522
16	0.5457319616
17	0.541104526
18	0.5353198494
19	0.5305069711
20	0.5263110064
21	0.5225717266
22	0.5183412442
23	0.5142565181
24	0.5100259008
25	0.5062937224
26	0.5031190403
27	0.4991504518
28	0.4954833085
29	0.4909982583
30	0.4880505479
31	0.4852032444
32	0.481774354
33	0.47754922
34	0.4739481908
35	0.4714649408
36	0.4682503027
37	0.4660013505
38	0.4623389715
39	0.4594572851
40	0.4575206099
41	0.4555148095
42	0.4532952962
43	0.4509300715
44	0.4493565061
45	0.4471306106
46	0.4450515949
47	0.4436347973
48	0.4417543931
49	0.440111208
50	0.4381141719
51	0.4366277995
52	0.4349219613
53	0.4334984668
54	0.4317435937
55	0.4303053574
56	0.4286701275
57	0.427382861
58	0.426255059
59	0.4245300742
60	0.4232320659
61	0.4218658312
62	0.4207212198
63	0.4193605134
64	0.4177930155
65	0.41649267
66	0.4144453405
67	0.4133947538
68	0.411959304
69	0.4105307308
70	0.4093145222
71	0.4081559329
72	0.4064120713
73	0.4054812627
74	0.4046127027
75	0.4032737496
76	0.4024388983
77	0.4017368142
78	0.4006309903
79	0.3997175304
80	0.3981387963
81	0.3972266848
82	0.3964081485
83	0.395241559
84	0.3941849047
85	0.3933380531
86	0.3925842375
87	0.3912115308
88	0.3903389707
89	0.3892757545
90	0.3885582993
91	0.3879514984
92	0.3874265421
93	0.3868601017
94	0.3861084434
95	0.385344605
96	0.3842915463
97	0.3835802935
98	0.3827004075
99	0.3820540101
100	0.3810687283
101	0.3805601769
102	0.3800823678
103	0.3793301702
104	0.3783111797
105	0.3777858639
106	0.3769403607
107	0.3763049973
108	0.3758449189
109	0.3753055578
110	0.3740312804
111	0.3735652019
112	0.3728841296
113	0.3723890616
114	0.3718309585
115	0.3713483403
116	0.3706359863
117	0.3701114795
118	0.3696025011
119	0.3691807158
120	0.368659108
121	0.3679967776
122	0.3675354633
123	0.3668235138
124	0.3663051195
125	0.3657759834
126	0.3654391439
127	0.3650633148
128	0.3646807439
129	0.3642701948
130	0.3635168511
131	0.3626727637
132	0.3622983278
133	0.3617909674
134	0.3614966908
135	0.3611298731
136	0.3606177261
137	0.3600000036
138	0.3596039043
139	0.3591716918
140	0.3587165349
141	0.3582824347
142	0.3579828771
143	0.3576705326
144	0.356878761
145	0.3564956058
146	0.3559190528
147	0.3555830448
148	0.3552390367
149	0.3549809631
150	0.3546672928
151	0.3542412377
152	0.3539511859
153	0.3535036921
154	0.3530803562
155	0.3527648881
156	0.3524352398
157	0.3521244459
158	0.3518022585
159	0.3514876892
160	0.3511606927
161	0.350852573
162	0.3505760496
163	0.3502446485
164	0.3497309509
165	0.3493938867
166	0.3490243724
167	0.3487915354
168	0.3482620172
169	0.3480039661
170	0.3477507691
171	0.3475043363
172	0.3472561057
173	0.3467715998
174	0.3465183578
175	0.3460459646
176	0.345765958
177	0.3455057945
178	0.3451720113
179	0.3446783142
180	0.34437797
181	0.3440937385
182	0.3437120665
183	0.3434500828
184	0.3430812201
185	0.3428978
186	0.342710672
187	0.3424074962
188	0.3422419642
189	0.3419581373
190	0.3416965805
191	0.3413124365
192	0.3410449021
193	0.3407901994
194	0.3404315842
195	0.3401901402
196	0.3399707643
197	0.3396440149
198	0.3393861212
199	0.3391293061
200	0.3388130739
201	0.3385116959
202	0.3381488783
203	0.337908603
204	0.3376578105
205	0.3373741633
206	0.336965839
207	0.33669999
208	0.3364329275
209	0.336175618
210	0.3359337696
211	0.3357309108
212	0.3355829073
213	0.3353618459
214	0.3350792324
215	0.3349506676
216	0.3347433818
217	0.3344773755
218	0.3342276392
219	0.3340615004
220	0.3338892267
221	0.3336209506
222	0.3332286717
223	0.333045701
224	0.3328053807
225	0.3324458441
226	0.3322404235
227	0.3319519447
228	0.3317738956
229	0.3315853293
230	0.3313992799
231	0.3311857917
232	0.3309221001
233	0.3305764739
234	0.3302500841
235	0.3300543492
236	0.3298512207
237	0.3296216647
238	0.3293918615
239	0.3292208238
240	0.3290492017
241	0.3287825437
242	0.3285994382
243	0.3282565312
244	0.3280600996
245	0.3278969496
246	0.3276824951
247	0.3274395006
248	0.3272647549
249	0.3270079847
250	0.3269009035
251	0.3265823791
252	0.3263936331
253	0.3261508408
254	0.3258853513
255	0.3257875513
256	0.3256244912
257	0.3254425094
258	0.3251587049
259	0.3249631722
260	0.3247548077
261	0.3245201055
262	0.3243833606
263	0.3241823896
264	0.3239554179
265	0.3236352081
266	0.3234158096
267	0.3232307041
268	0.3231042966
269	0.3229748104
270	0.3228630549
271	0.322720647
272	0.3225194288
273	0.3223243005
274	0.3221187451
275	0.3219589211
276	0.3216858809
277	0.3214613363
278	0.3212336005
279	0.3210860015
280	0.3209617289
281	0.3208127141
282	0.320577158
283	0.3203116011
284	0.3201442713
285	0.3199832113
286	0.3198274323
287	0.3196357648
288	0.3194207485
289	0.3193034873
290	0.3191198874
291	0.3189697266
292	0.3187791153
293	0.3184951535
294	0.3183546558
295	0.3182078883
296	0.3180390977
297	0.3179550508
298	0.3177029774
299	0.3176147056
300	0.3173952622
301	0.3172039768
302	0.3169826457
303	0.316662346
304	0.3165697146
305	0.3164303629
306	0.3162739772
307	0.3161221983
308	0.3159175193
309	0.3156462095
310	0.3155336226
311	0.3153116398
312	0.3151289613
313	0.3149658113
314	0.3148552694
315	0.3146737145
316	0.3145447901
317	0.3143330098
318	0.3141933436
319	0.3140468906
320	0.3138420094
321	0.3136724323
322	0.3134967877
323	0.3133071203
324	0.3131480379
325	0.3129779889
326	0.3128652671
327	0.312652498
328	0.3125333941
329	0.3124322456
330	0.3121355194
331	0.3119324809
332	0.3117969271
333	0.311643755
334	0.3114738633
335	0.3113099043
336	0.3111039669
337	0.3109694918
338	0.3108193758
339	0.3106745185
340	0.3104781767
341	0.3103256113
342	0.3102250696
343	0.3100761223
344	0.3099542767
345	0.3098411279
346	0.3097222037
347	0.3095946277
348	0.3094128256
349	0.3092810922
350	0.3091390663
351	0.3090001192
352	0.3088344074
353	0.3086903366
354	0.3084746461
355	0.3083592725
356	0.3082093813
357	0.3079769938
358	0.3078679126
359	0.3077804723
360	0.307646986
361	0.3075596356
362	0.3073876764
363	0.3071429965
364	0.3069498458
365	0.3067606728
366	0.3066135008
367	0.3065141276
368	0.3062747736
369	0.3060358466
370	0.3058735956
371	0.3057486038
372	0.305644871
373	0.3055741503
374	0.3054459
375	0.3053014247
376	0.3050648573
377	0.3048615266
378	0.3046750503
379	0.3044765287
380	0.3042893782
381	0.3040874183
382	0.3039378642
383	0.3037705794
384	0.3035813164
385	0.3035099664
386	0.3032977592
387	0.303138452
388	0.303019775
389	0.302743746
390	0.3025236734
391	0.302373917
392	0.302174092
393	0.3019976384
394	0.301852399
395	0.301737048
396	0.3015018289
397	0.3013111277
398	0.3010482451
399	0.3009617262
400	0.3008385997
401	0.3006626404
402	0.300466029
403	0.3003193289
404	0.3000648734
405	0.2999590957
406	0.299780642
407	0.2995127255
408	0.2993991498
409	0.2992804728
410	0.2991151655
411	0.2989916345
412	0.2988401478
413	0.2987363026
414	0.2985586804
415	0.2984711278
416	0.2982119306
417	0.2981162205
418	0.2979609584
419	0.2978638774
420	0.2977873587
421	0.2976358945
422	0.2974733063
423	0.2973010775
424	0.2971096123
425	0.2969462826
426	0.2967779865
427	0.296611623
428	0.2964461584
429	0.2963509426
430	0.2960845543
431	0.2958776505
432	0.2957661422
433	0.2956679826
434	0.295482113
435	0.2952776812
436	0.2952009378
437	0.2950683953
438	0.2948522778
439	0.2947499608
440	0.2946521607
441	0.29452027
442	0.2942616346
443	0.2941735876
444	0.2940247751
445	0.2938987945
446	0.293739375
447	0.2936282937
448	0.2934839532
449	0.2932323068
450	0.2930167961
451	0.2928633542
452	0.2927122945
453	0.2924478837
454	0.2922568005
455	0.2921959676
456	0.2920605711
457	0.2919666139
458	0.2918107899
459	0.291679461
460	0.2914651638
461	0.2913445542
462	0.2912301469
463	0.2911105037
464	0.2910041191
465	0.290862745
466	0.2907010333
467	0.2904889608
468	0.2904011385
469	0.2901806389
470	0.2900196913
471	0.2898804295
472	0.2897790114
473	0.2896353675
474	0.2895148029
475	0.2893522372
476	0.2891774241
477	0.2890683428
478	0.2889241821
479	0.2888359328
480	0.2887005588
481	0.2885348021
482	0.2884410695
483	0.2883213139
484	0.2882332668
485	0.2880824992
486	0.2879684965
487	0.2877964924
488	0.2876972541
489	0.2875921056
490	0.287446147
491	0.2872758958
492	0.2871834442
493	0.2870246764
494	0.2869088309
495	0.2867604678
496	0.2866980394
497	0.2865931156
498	0.2864854051
499	0.2863828634
500	0.2861950612
501	0.2861071939
502	0.2860322483
503	0.2859637973
504	0.2857434325
505	0.2856245308
506	0.2854701001
507	0.285367873
508	0.285177037
509	0.2849588071
510	0.2848351637
511	0.284668598
512	0.2845762138
513	0.2844488175
514	0.2842503858
515	0.2840926517
516	0.2839519068
517	0.2838598822
518	0.2836925748
519	0.2835194471
520	0.2834000735
521	0.283299734
522	0.2832046531
523	0.2830982686
524	0.2829539056
525	0.2827536312
526	0.2826194707
527	0.2824889957
528	0.2823865438
529	0.2821738646
530	0.282060581
531	0.2819306678
532	0.2817636302
533	0.281688707
534	0.2815811989
535	0.2814725446
536	0.2812791917
537	0.2811428963
538	0.2809782183
539	0.2808731596
540	0.2808173605
541	0.2806927733
542	0.2805422753
543	0.2804115756
544	0.2802938874
545	0.2801929862
546	0.2800788936
547	0.2799923971
548	0.2798771584
549	0.2796848842
550	0.2795790839
551	0.2794974191
552	0.2793519774
553	0.2791876589
554	0.2790111604
555	0.2788474711
556	0.2787534239
557	0.2786068137
558	0.2784625181
559	0.2783771453
560	0.2781892307
561	0.2780585535
562	0.2780015184
563	0.2778421438
564	0.2777634454
565	0.2776165655
566	0.2774983155
567	0.2773662224
568	0.2772307586
569	0.2771428464
570	0.2770440575
571	0.2768773794
572	0.2767082742
573	0.2766073954
574	0.276452403
575	0.2763352766
576	0.2762443531
577	0.2760620342
578	0.2759377391
579	0.2758532652
580	0.2756876208
581	0.2755322913
582	0.2753256347
583	0.2751829572
584	0.274977132
585	0.2748251734
586	0.2746511693
587	0.2745255708
588	0.2743610275
589	0.2742957676
590	0.2741247523
591	0.2739993111
592	0.2738515772
593	0.2737654179
594	0.2736606963
595	0.2735768516
596	0.2734630736
597	0.2733488013
598	0.2732280344
599	0.2730913345
600	0.2730151978
601	0.2729462749
602	0.2727984287
603	0.2726886732
604	0.2726037724
605	0.2724628926
606	0.2723220578
607	0.2721866613
608	0.2720622089
609	0.271954521
610	0.2718266078
611	0.2717459093
612	0.2716313673
613	0.2715497473
614	0.2714872515
615	0.271374305
616	0.2712142787
617	0.2710742754
618	0.2709720482
619	0.2708528993
620	0.2707185141
621	0.270634602
622	0.2705051158
623	0.2704114507
624	0.2702879646
625	0.2701693101
626	0.2700900048
627	0.2699200907
628	0.2697918854
629	0.269713524
630	0.2696039259
631	0.2694428884
632	0.269321672
633	0.2692318272
634	0.2690993746
635	0.2689525846
636	0.2688489866
637	0.2687849402
638	0.2686473863
639	0.2685307319
640	0.2684428646
641	0.2682974454
642	0.268227691
643	0.2680929687
644	0.2679768311
645	0.2678622216
646	0.267687431
647	0.2676338342
648	0.2675068874
649	0.2673778056
650	0.2671565644
651	0.2671094397
652	0.2669367165
653	0.2668811646
654	0.2667531616
655	0.2666603729
656	0.2665369093
657	0.2664269741
658	0.2663247919
659	0.2661458213
660	0.2660108968
661	0.2658907366
662	0.2657659921
663	0.2656435173
664	0.2655215369
665	0.2653998486
666	0.2652738456
667	0.265187866
668	0.2650449862
669	0.2649564898
670	0.2647921263
671	0.2646767303
672	0.2645940317
673	0.2644803886
674	0.2644211063
675	0.2643046091
676	0.2641147844
677	0.2640597718
678	0.2639413421
679	0.2638403734
680	0.2637030218
681	0.2635900304
682	0.2634824323
683	0.2632886075
684	0.2631273902
685	0.2630154999
686	0.2629016769
687	0.2627840112
688	0.2626824133
689	0.2625460505
690	0.2624053281
691	0.2622976851
692	0.2621666707
693	0.2620963994
694	0.2619787562
695	0.2618606635
696	0.261740728
697	0.2616214893
698	0.2615195093
699	0.2614091696
700	0.2612851667
701	0.2611775237
702	0.2611117019
703	0.2610008453
704	0.2609244165
705	0.26078911
706	0.2606980966
707	0.2605785881
708	0.2604736867
709	0.2603993479
710	0.2602885588
711	0.2601769606
712	0.2600787336
713	0.260033137
714	0.259884684
715	0.2597422537
716	0.2596144304
717	0.2595350577
718	0.2594352351
719	0.2593043107
720	0.2592091174
721	0.259094081
722	0.2589686398
723	0.2588778287
724	0.2587272858
725	0.2586415759
726	0.2584876396
727	0.2584002892
728	0.2582787583
729	0.2581973631
730	0.2581410921
731	0.2580845514
732	0.2579915604
733	0.2577831959
734	0.2576577772
735	0.2575539321
736	0.2574807843
737	0.2573589836
738	0.2572564868
739	0.257131158
740	0.2570318972
741	0.2569680755
