Producto,Precio_Dia,Precio_Mercadona,Donde_comprar,Tipo_Clasificacion
HUEVO GALLINA CAMPERA,1.99,2.4,Dia,Supermercado
CALABAZA EN TROZOS,1.59,1.87,Dia,Supermercado
KEFIR,1.79,1.25,Mercadona,Supermercado
ESPARRAGO VERDE,2.15,2.05,Mercadona,Supermercado
UVA BLANCA SIN SEMILLA,2.49,2.25,Mercadona,Supermercado
