num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,num_error,error
00159222B10001227,00159221310030863,*,2001000,00159221330001155,20221403  122M1  668,614179.98,103000002874,2011140030003030236,1,Los campos DIR3 son requeridos
00159222B10001228,00159221310055761,000A79534384,2002300,00159221330002387,20221403  122M1  668,614179.98,033062100176,2011140030003030236,1,La aplicación 20221403  122M1  668      no existe en la operación 00159221310030863
00159222B10001228,00159221310055761,000A79534384,2002300,00159221330002387,20221403  122M1  668,614179.98,033062100176,2011140030003030236,2,Insuficiencia de saldo en situación aplicación 20221403  122M1  668     de importe TBSITGASCOR.
00159222B10001228,00159221310055761,000A79534384,2002300,00159221330002387,20221403  122M1  668,614179.98,033062100176,2011140030003030236,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122M   668     de importe 614179.98.
00159222B10001228,00159221310055761,000A79534384,2002300,00159221330002387,20221403  122M1  668,614179.98,033062100176,2011140030003030236,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122M   668     de importe 614179.98.
00159222B10001228,00159221310055761,000A79534384,2002300,00159221330002387,20221403  122M1  668,614179.98,033062100176,2011140030003030236,5,Clave 20221403  122M   668     inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001233,00159221310033479,*,2001000,00159221330001307,20221403  122M1  668,167544.39,103000003119,2011140030003030316,1,Los campos DIR3 son requeridos
00159222B10001234,00159221310053166,000A82018474,2002300,00159221330002245,20221403  122M1  668,167544.39,033062100181,2011140030003030316,1,La aplicación 20221403  122M1  668      no existe en la operación 00159221310033479
00159222B10001234,00159221310053166,000A82018474,2002300,00159221330002245,20221403  122M1  668,167544.39,033062100181,2011140030003030316,2,Insuficiencia de saldo en situación aplicación 20221403  122M1  668     de importe TBSITGASCOR.
00159222B10001234,00159221310053166,000A82018474,2002300,00159221330002245,20221403  122M1  668,167544.39,033062100181,2011140030003030316,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122M   668     de importe 167544.39.
00159222B10001234,00159221310053166,000A82018474,2002300,00159221330002245,20221403  122M1  668,167544.39,033062100181,2011140030003030316,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122M   668     de importe 167544.39.
00159222B10001234,00159221310053166,000A82018474,2002300,00159221330002245,20221403  122M1  668,167544.39,033062100181,2011140030003030316,5,Clave 20221403  122M   668     inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001235,00159221310033480,*,2001000,00159221330001292,20221403  122M1  668,22537.04,103000003134,2011140030003030317,1,Los campos DIR3 son requeridos
00159222B10001236,00159221310053165,000A79534384,2002300,00159221330002242,20221403  122M1  668,22537.04,033062100182,2011140030003030317,1,La aplicación 20221403  122M1  668      no existe en la operación 00159221310033480
00159222B10001236,00159221310053165,000A79534384,2002300,00159221330002242,20221403  122M1  668,22537.04,033062100182,2011140030003030317,2,Insuficiencia de saldo en situación aplicación 20221403  122M1  668     de importe TBSITGASCOR.
00159222B10001236,00159221310053165,000A79534384,2002300,00159221330002242,20221403  122M1  668,22537.04,033062100182,2011140030003030317,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122M   668     de importe 22537.04.
00159222B10001236,00159221310053165,000A79534384,2002300,00159221330002242,20221403  122M1  668,22537.04,033062100182,2011140030003030317,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122M   668     de importe 22537.04.
00159222B10001236,00159221310053165,000A79534384,2002300,00159221330002242,20221403  122M1  668,22537.04,033062100182,2011140030003030317,5,Clave 20221403  122M   668     inexistente en el fichero de importes TBSITEXPEDIENTE.
